Дата,Лайки,Просмотры,Комментарии,Репосты,Сохранения
2024-05-02,0,26,0,0,0
2024-05-03,2,0,0,0,0
2024-05-04,0,0,0,0,0
2024-05-05,0,0,0,0,0
2024-05-06,1,27,0,0,0
2024-05-07,0,26,0,0,0
2024-05-08,0,24,0,0,0
2024-05-09,0,27,0,0,0
2024-05-10,2,38,0,0,0
2024-05-11,0,0,0,0,0
2024-05-12,0,0,0,0,0
2024-05-13,0,47,0,0,0
2024-05-14,0,42,0,0,0
2024-05-15,0,33,0,0,0
2024-05-16,1,44,0,0,0
2024-05-17,0,0,0,0,0
2024-05-18,0,52,0,0,0
2024-05-19,0,0,0,0,0
2024-05-20,1,53,0,0,0
2024-05-21,0,46,0,0,0
2024-05-22,0,36,0,0,0
2024-05-23,0,44,0,0,0
2024-05-24,0,60,0,0,0
2024-05-25,0,0,0,0,0
2024-05-26,0,0,0,0,0
2024-05-27,1,59,0,0,0
2024-05-28,0,57,0,0,0
2024-05-29,0,61,0,0,0
2024-05-30,0,67,0,0,0
2024-05-31,0,0,0,0,0
2024-06-01,0,0,0,0,0
2024-06-02,0,0,0,0,0
2024-06-03,0,0,0,0,0
2024-06-04,0,79,0,0,0
2024-06-05,0,0,0,0,0
2024-06-06,5,0,0,0,0
2024-06-07,0,0,0,0,0
2024-06-08,0,0,0,0,0
2024-06-09,0,0,0,0,0
2024-06-10,1,132,0,0,0
2024-06-11,0,0,0,0,0
2024-06-12,0,112,0,0,0
2024-06-13,0,0,0,0,0
2024-06-14,1,97,0,0,0
2024-06-15,0,0,0,0,0
2024-06-16,0,0,0,0,0
2024-06-17,0,0,0,0,0
2024-06-18,1,111,0,0,0
2024-06-19,0,0,0,0,0
2024-06-20,0,0,0,0,0
2024-06-21,1,111,0,0,0
2024-06-22,0,0,0,0,0
2024-06-23,0,0,0,0,0
2024-06-24,0,0,0,0,0
2024-06-25,2,117,0,0,0
2024-06-26,0,123,0,0,0
2024-06-27,0,0,0,0,0
2024-06-28,0,0,0,0,0
2024-06-29,0,0,0,0,0
2024-06-30,0,0,0,0,0
2024-07-01,0,0,0,0,0
2024-07-02,11,0,0,0,0
2024-07-03,4,0,0,0,0
2024-07-04,0,0,0,0,0
2024-07-05,0,0,0,0,0
2024-07-06,0,0,0,0,0
2024-07-07,0,0,0,0,0
2024-07-08,0,0,0,0,0
2024-07-09,0,0,0,0,0
2024-07-10,7,0,2,0,0
2024-07-11,0,0,0,0,0
2024-07-12,5,0,2,0,0
2024-07-13,0,0,0,0,0
2024-07-14,0,0,0,0,0
2024-07-15,4,0,0,0,0
2024-07-16,0,0,0,0,0
2024-07-17,0,0,0,0,0
2024-07-18,0,0,0,0,0
2024-07-19,0,0,0,0,0
2024-07-20,0,0,0,0,0
2024-07-21,0,0,0,0,0
2024-07-22,0,0,0,0,0
2024-07-23,0,0,0,0,0
2024-07-24,3,0,0,0,0
2024-07-25,3,239,0,0,0
2024-07-26,2,134,0,0,0
2024-07-27,0,0,0,0,0
2024-07-28,0,0,0,0,0
2024-07-29,3,136,0,0,0
2024-07-30,0,0,0,0,0
2024-07-31,0,0,0,0,0
2024-08-01,2,0,0,0,0
2024-08-02,0,0,0,0,0
2024-08-03,0,0,0,0,0
2024-08-04,0,0,0,0,0
2024-08-05,0,0,0,0,0
2024-08-06,2,144,0,0,0
2024-08-07,0,0,0,0,0
2024-08-08,0,0,0,0,0
2024-08-09,5,0,0,0,0
2024-08-10,0,0,0,0,0
2024-08-11,0,0,0,0,0
2024-08-12,2,146,0,0,0
2024-08-13,2,0,0,0,0
2024-08-14,3,256,0,0,0
2024-08-15,0,0,0,0,0
2024-08-16,18,0,0,0,0
2024-08-17,0,0,0,0,0
2024-08-18,0,0,0,0,0
2024-08-19,0,0,0,0,0
2024-08-20,6,178,0,0,0
2024-08-21,0,0,0,0,0
2024-08-22,0,0,0,0,0
2024-08-23,6,0,0,0,0
2024-08-24,0,0,0,0,0
2024-08-25,0,0,0,0,0
2024-08-26,0,0,0,0,0
2024-08-27,0,0,0,0,0
2024-08-28,9,172,0,0,0
2024-08-29,7,212,0,0,0
2024-08-30,3,0,0,0,0
2024-08-31,0,0,0,0,0
2024-09-01,0,0,0,0,0
2024-09-02,2,155,0,0,0
2024-09-03,0,0,0,0,0
2024-09-04,13,0,0,0,0
2024-09-05,14,0,0,0,0
2024-09-06,0,0,0,0,0
2024-09-07,0,0,0,0,0
2024-09-08,0,0,0,0,0
2024-09-09,0,0,0,0,0
2024-09-10,0,0,0,0,0
2024-09-11,0,0,0,0,0
2024-09-12,0,0,0,0,0
2024-09-13,5,0,0,0,0
2024-09-14,1,170,0,0,0
2024-09-15,0,0,0,0,0
2024-09-16,0,0,0,0,0
2024-09-17,0,0,0,0,0
2024-09-18,0,0,0,0,0
2024-09-19,4,0,0,0,0
2024-09-20,3,142,0,0,0
2024-09-21,0,0,0,0,0
2024-09-22,0,0,0,0,0
2024-09-23,1,84,0,0,0
2024-09-24,0,0,0,0,0
2024-09-25,3,104,0,0,0
2024-09-26,0,0,0,0,0
2024-09-27,0,0,0,0,0
2024-09-28,0,0,0,0,0
2024-09-29,0,0,0,0,0
2024-09-30,0,0,0,0,0
2024-10-01,0,0,0,0,0
2024-10-02,0,0,0,0,0
2024-10-03,0,93,0,0,0
2024-10-04,0,0,0,0,0
2024-10-05,0,0,0,0,0
2024-10-06,0,0,0,0,0
2024-10-07,0,0,0,0,0
2024-10-08,0,0,0,0,0
2024-10-09,0,0,0,0,0
2024-10-10,0,0,0,0,0
2024-10-11,0,0,0,0,0
2024-10-12,0,0,0,0,0
2024-10-13,0,0,0,0,0
2024-10-14,0,0,0,0,0
2024-10-15,0,0,0,0,0
2024-10-16,0,0,0,0,0
2024-10-17,0,0,0,0,0
2024-10-18,0,0,0,0,0
2024-10-19,0,0,0,0,0
2024-10-20,0,0,0,0,0
2024-10-21,0,0,0,0,0
2024-10-22,0,0,0,0,0
2024-10-23,0,0,0,0,0
2024-10-24,0,0,0,0,0
2024-10-25,0,0,0,0,0
2024-10-26,0,0,0,0,0
2024-10-27,0,0,0,0,0
2024-10-28,0,0,0,0,0
2024-10-29,0,0,0,0,0
2024-10-30,0,0,0,0,0
2024-10-31,0,0,0,0,0
2024-11-01,0,0,0,0,0
2024-11-02,0,0,0,0,0
2024-11-03,0,0,0,0,0
2024-11-04,0,0,0,0,0
2024-11-05,0,0,0,0,0
2024-11-06,0,0,0,0,0
2024-11-07,0,0,0,0,0
2024-11-08,0,0,0,0,0
2024-11-09,0,0,0,0,0
2024-11-10,0,0,0,0,0
2024-11-11,0,0,0,0,0
2024-11-12,0,0,0,0,0
2024-11-13,0,0,0,0,0
2024-11-14,0,0,0,0,0
2024-11-15,0,0,0,0,0
2024-11-16,0,0,0,0,0
2024-11-17,0,0,0,0,0
2024-11-18,0,0,0,0,0
2024-11-19,0,0,0,0,0
2024-11-20,0,0,0,0,0
2024-11-21,0,0,0,0,0
2024-11-22,0,0,0,0,0
2024-11-23,0,0,0,0,0
2024-11-24,0,0,0,0,0
2024-11-25,0,0,0,0,0
2024-11-26,0,0,0,0,0
2024-11-27,0,0,0,0,0
2024-11-28,0,0,0,0,0
2024-11-29,0,0,0,0,0
