Дата публикации,Ссылка на рилс,Кол-во просмотров,Кол-во реакций,Кол-во комментариев
2024-05-03,https://www.instagram.com/reel/C6f7Tpvo44j/,45,2,0
2024-06-06,https://www.instagram.com/reel/C73eTmfCEKD/,170,5,0
2024-07-02,https://www.instagram.com/reel/C87OL9MIUW-/,318,11,0
2024-07-03,https://www.instagram.com/reel/C89mDVmo4QX/,109,4,0
2024-07-10,https://www.instagram.com/reel/C9Pi-RzIbRB/,116,5,0
2024-07-10,https://www.instagram.com/reel/C9PP1EeIJXp/,114,2,2
2024-07-12,https://www.instagram.com/reel/C9UpU3VIUCw/,159,5,2
2024-07-15,https://www.instagram.com/reel/C9cJ9XHI2eu/,113,4,0
2024-07-24,https://www.instagram.com/reel/C9ziVhHpMbZ/,127,3,0
2024-08-01,https://www.instagram.com/reel/C-HqzsKCelp/,156,2,0
2024-08-09,https://www.instagram.com/reel/C-cRO4VN6X3/,170,5,0
2024-08-13,https://www.instagram.com/reel/C-nQRIPKV8u/,204,2,0
2024-08-16,https://www.instagram.com/reel/C-unWdnIRu-/,385,18,0
2024-08-23,https://www.instagram.com/reel/C_BNWQ0Ip8y/,304,6,0
2024-08-28,https://www.instagram.com/reel/C_NocDGITxm/,284,5,0
2024-08-29,https://www.instagram.com/reel/C_QLGpoosCn/,312,5,0
2024-08-30,https://www.instagram.com/reel/C_SV5GONk5F/,459,3,0
2024-09-04,https://www.instagram.com/reel/C_ftHFyIfnC/,1331,13,0
2024-09-05,https://www.instagram.com/reel/C_hubIMob8o/,1372,14,0
2024-09-13,https://www.instagram.com/reel/C_2UNE4o_8F/,308,5,0
2024-09-19,https://www.instagram.com/reel/DAGkoQSIIg3/,230,4,0
